Reference;Description;Value;Qty;Type;Voltage;Footprint size;Tolerance;DNP;MPN;Manufacturer;Critical part (must be same as MPN)
D1,D2;DIODE;1N4148WS;2;;;;;;1N4148WS-E3-18;Vishay Semiconductors;
U4;IC;LTC3786;1;;;;;;LTC3786EUD#TRPBF;Analog Devices;Critical
U3;IC;MP9943;1;;;;;;MP9943AGQ-Z;Monolithic Power Systems (MPS);Critical
U1,U2;;MAX98397;2;;;;;;MAX98397EWB+T;Analog Devices;Critical
R31;RES;13.3K;1;;;0402;1%;;RMCF0402FT13K3;SEI Stackpole;
R30;RES;10M;1;;;0402;1%;;RMCF0402FT10M0;SEI Stackpole;
R15;RES;41.2K;1;;;0402;1%;;RC0402FR-1341K2L;YAGEO;
R14;RES;7.68K;1;;;0402;1%;;RC0402FR-077K68L;YAGEO;
R13;RES;51K;1;;;0402;1%;;RC0402FR-0751KP;YAGEO;
R12;Resistor;4.7k;1;;;0603;1%;;CRCW06034K70FKEC;Vishay / Dale;
R4,R5,R6,R7,R8,R9,R19,R20,R21,R22,R23,R24;RES;33r;12;;;0402;1%;;RC0402FR-1333RL;YAGEO;
R2,R17;RES;4.7k;2;;;0402;1%;;AC0402FR-134K7L;YAGEO;
R1,R3,R10,R11,R16,R18,R25,R26,R27,R28,R29;RES;10K;11;;;0402;1%;;AC0402FR-0710KL;YAGEO;
Q1,Q2;100A Id, 60V Vds, OptiMOS N-Channel Power MOSFET, 2.8mOhm Ron, Qg (typ) 31.0nC, PG-TDSON-8;BSZ024N04LS6;2;;;;;;BSZ024N04LS6;Infineon;Critical
L2;IND;4.7uH;1;;;;;;HCM1A1307-4R7-R;Bussmann / Eaton;Critical
L1;Inductor;10uH;1;;;;;;74404054100;Würth Elektronik;Critical
JPVDD1;CONN;Conn_01x04;1;;;;;DNP;B4P-VH;JST Sales America Inc.;
JBST_PVDD1;HEADER;Conn_02x04_Odd_Even;1;;;;;DNP;TSW-104-07-F-D;Samtec;
JBATT1,JOUT1,JOUT2;CONN;Conn_01x02;3;;;;;DNP;B2P-VH;JST Sales America Inc.;
FB1,FB2,FB3,FB4;FERR;FERR_NFZ2MSD301SZ10L;4;;;0806;;;NFZ2MSD301SZ10L;Murata;Critical
C64,C65,J1,R32,R33,R34;-;-;-;-;-;-;-;DNP;;;
C62,C63;CAP;47uF;2;ELEC;16V;-;10%;DNP;EEE-FK1C470P;Panasonic;
C60,C61;CAP;10uF;2;X7R;25V;0805;20%;;CL21B106KAYQNNE;Samsung Electro-Mechanics;
C55;CAP;4.7uF;1;X7R;25V;0805;10%;;GRM21BZ71E475KE15L;Murata;
C54;CAP;1uF;1;X7R;50V;0603;10%;;GCM188R71E104KA57D;Murata;
C53;CAP;0.047uF;1;X7R;25V;0402;5%;;GRM155R71E473JA88D;Murata;
C18,C19,C46,C47,C48,C49;;470uF;6;ELEC;50V;-;10%;DNP;EMZS350ARA471MHA0G;Chemi-Con;
C14,C26,C27,C42;CAP;22uF;4;X7R;10V;0805;20%;;GRM21BZ71A226ME15K;Murata;
C13,C15,C22,C23,C41,C43,C58,C59;CAP;10uF;8;X7R;50V;1206;10%;;CL31B106KBHNNNE;Samsung Electro-Mechanics;
C12,C17,C40,C45;CAP;1uF;4;X7R;10V;0402;10%;;GRM155Z71A105KE01J;Murata;Critical
C10,C11,C38,C39;CAP;150pF;4;NP0;50V;0402;10%;;UMK105CG151JVHF;TAIYO YUDEN;
C5,C8,C9,C21,C25,C33,C36,C37,C57;CAP;1uF;9;X7R;50V;0603;10%;;CL10B105KB8NQNC;Samsung Electro-Mechanics;
C1,C2,C3,C4,C6,C7,C16,C20,C24,C28,C29,C30,C31,C32,C34,C35,C44,C50,C51,C52,C56;CAP;100nF;21;X7R;50V;0402;10%;;GRM155R71H104KE14D;Murata;
